global_idx,mae_MMK,mse_MMK,mae_iTransformer,mse_iTransformer
330,9.786046,275.475555,15.619491,475.829834
331,9.798789,270.198883,16.000854,493.819824
332,10.074892,285.367188,16.259109,500.364410
333,10.058882,281.319733,15.865268,485.406250
334,10.393252,292.477264,16.578667,509.686127
335,10.809625,318.938751,16.189371,506.315704
336,10.128109,281.320282,15.986485,492.941986
337,10.084832,279.507690,15.947301,483.982422
338,10.313122,295.115448,16.524458,518.884705
339,10.848466,320.578369,18.112371,584.021851
340,11.132782,338.197906,17.442167,568.520569
341,11.406711,311.467743,17.095825,561.536682
342,10.370991,307.666840,17.583334,588.572937
343,10.229366,288.857697,15.809567,530.483337
344,8.814536,210.594925,13.626503,414.198090
345,9.166136,247.261398,12.469953,357.086212
346,10.855189,369.162445,12.192233,294.054138
347,8.798068,275.260956,12.609894,300.552429
348,8.957958,260.407257,13.570889,336.826141
349,9.254285,312.723816,14.347450,377.509186
350,9.560256,285.244293,15.251805,409.420258
351,9.648685,272.382355,15.667530,420.577057
352,9.181793,266.834717,15.536304,421.001007
353,8.793365,266.647583,15.017423,433.992432
354,8.991521,272.119568,14.476140,425.208008
355,9.226834,273.400787,15.780742,464.976715
356,9.055447,269.519440,16.461039,481.496918
357,9.108154,275.622345,16.938412,494.663574
358,9.152428,273.545807,16.143030,474.118652
359,9.294051,268.300934,15.223533,442.789764
360,9.268323,271.173218,14.907990,430.249359
361,8.829880,265.275024,14.430614,412.189117
362,8.892988,268.102234,14.825246,421.592621
363,8.894165,262.108887,15.499599,454.312592
364,9.675027,265.883057,14.766300,429.300140
365,10.288301,277.060699,14.923074,442.347687
366,9.845895,282.048737,14.275830,428.826630
367,9.428658,292.141388,13.748154,413.012543
368,9.211156,271.325836,12.407382,359.435944
369,8.624840,255.916992,11.308270,311.740631
370,9.187733,276.796661,11.507156,332.152496
371,7.774591,238.719849,11.786473,316.504913
372,7.918599,239.773682,12.795484,317.791016
373,7.692713,232.729446,14.081271,338.576630
374,7.945356,234.354904,14.268424,346.167999
375,7.828739,234.695557,13.961437,339.737274
376,8.146224,245.130051,13.624787,333.127228
377,8.757545,255.679031,13.262784,319.648926
