global_idx,mae_MMK,mse_MMK,mae_iTransformer,mse_iTransformer
3295,5.792077,94.334312,18.614119,450.348267
3296,5.270485,76.952599,18.379688,438.077728
3297,5.907234,98.286163,18.052242,396.172760
3298,4.155138,49.963367,17.628344,372.604645
3299,4.386672,60.569382,17.072155,359.770996
3300,4.481502,56.002686,17.759390,389.604218
3301,4.660761,63.003750,18.233246,406.564209
3302,5.029435,73.767334,20.111345,496.909515
3303,4.823154,63.565472,20.899542,549.929199
3304,3.685978,34.747936,20.710596,546.034729
3305,4.237389,40.398251,20.141737,495.567535
3306,4.227868,48.691650,19.236399,441.519897
3307,4.546580,57.922913,18.043488,398.641876
3308,4.288302,48.064606,16.392134,334.952820
3309,4.655502,59.958736,16.573366,329.791779
3310,5.266170,76.077339,16.082369,304.855133
3311,4.803058,65.917274,16.260731,316.363434
3312,5.207170,74.427788,17.649858,378.633942
3313,4.936386,68.650444,15.784223,297.062561
3314,5.051766,64.202393,15.603284,284.251190
3315,5.026952,70.551071,15.873830,294.762970
3316,5.337378,73.581787,15.396420,279.706177
3317,5.792953,95.219749,15.945170,307.267548
3318,5.193707,76.756409,16.636576,338.521912
3319,5.239358,80.850395,17.404444,377.078278
3320,4.918341,70.810036,17.313869,370.333344
3321,5.365372,80.704002,17.253931,351.439941
3322,4.765769,66.940453,17.496021,371.481903
3323,4.580684,65.112526,18.022795,404.765289
3324,4.505715,56.845295,18.982866,449.269440
3325,3.949579,43.867382,19.235285,464.501495
3326,4.635206,63.042755,19.990559,506.664551
3327,4.702016,63.329731,19.986050,513.624084
3328,4.242121,44.035839,20.354677,536.551270
3329,4.601126,51.652405,19.669144,483.832397
3330,3.938349,41.131016,18.800970,437.060883
3331,4.387657,54.526905,16.902121,356.482422
3332,4.441191,54.078991,16.048018,321.614960
3333,4.070287,45.835022,16.181665,330.808197
3334,4.256854,51.038250,16.028105,314.190338
3335,4.790459,65.765182,16.154425,317.872772
3336,4.750880,58.569763,15.978908,317.193604
3337,4.402186,51.254375,14.961108,270.303375
3338,4.413037,53.498775,14.897702,260.032196
3339,4.825394,65.563477,15.217299,275.135040
3340,4.730375,64.105774,15.423427,286.153168
3341,4.707877,62.764202,16.023962,317.934235
3342,4.801345,64.423637,16.816277,359.841797
3343,4.991350,72.054237,17.642073,402.828949
3344,4.686323,70.162209,17.398285,393.774445
3345,5.287393,76.922279,16.900160,353.092285
3346,4.219114,52.733963,17.354456,374.177277
3347,4.408670,60.029018,17.812901,392.038422
3348,4.750103,66.917839,19.116896,445.851410
3349,4.642577,66.407654,20.651838,528.412842
3350,4.967805,77.322350,21.697174,603.906860
3351,4.724945,63.325123,23.120773,681.371704
3352,4.640484,63.249146,22.961515,662.403870
3353,4.863034,66.437683,21.766058,570.307922
3354,4.463703,64.139702,20.524265,497.754395
3355,4.763809,68.692612,18.936846,423.190430
3356,4.619708,64.548737,17.297256,354.281830
3357,4.996574,72.370026,16.853195,333.739532
3358,5.176800,84.457481,16.773275,319.297485
3359,4.802475,71.943642,16.518497,314.977081
3360,4.710515,64.244110,17.209757,352.221039
3361,4.896415,66.062851,16.107206,297.031128
3362,4.806348,66.524040,15.325947,258.733398
3363,4.580486,61.866608,15.488449,269.350006
3364,4.819435,68.011955,15.908924,282.461517
3365,4.748408,64.574120,16.867792,321.313904
3366,4.975339,73.178162,17.889015,366.641449
3367,4.821756,72.123688,18.249159,388.732086
3368,4.883811,76.184410,17.948195,373.980103
3369,5.504511,87.108803,17.947943,365.192719
3370,4.769592,65.214333,17.436205,349.395996
3371,5.203228,95.936943,18.114561,381.219513
3372,5.817492,143.836899,19.258692,431.109711
3373,6.492189,178.940262,20.690620,507.067627
3374,6.952227,202.340897,21.902199,591.518250
3375,7.153262,224.401413,23.865072,694.946533
3376,7.314201,234.789780,24.678017,738.387695
3377,7.204586,224.628799,24.400064,716.436707
3378,7.097355,216.574661,23.816259,680.930603
3379,7.220110,217.242371,22.806122,632.891663
3380,7.425774,223.438599,21.371675,579.352478
3381,7.473317,213.082596,20.955465,560.934509
3382,7.223715,214.264938,21.009575,564.533997
3383,7.392813,209.610031,21.230705,597.734375
3384,7.258715,214.301132,22.384789,646.545227
3385,7.016569,211.683548,21.247929,591.950500
